what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1394409588764
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1394409588765
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1394409588765
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1394409588766
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1394409588770
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1394409588772
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1394409588772
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1394409588773
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1394409588773
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1394409588774
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1394409588774
started,bundle,org.tigris.subversion.subclipse.core,1.0.7,"org.tigris.subversion.subclipse.core",1394409588790
started,bundle,org.tigris.subversion.subclipse.ui,1.0.5,"org.tigris.subversion.subclipse.ui",1394409588801
os,sysinfo,,,"macosx",1394409588803
arch,sysinfo,,,"x86",1394409588803
ws,sysinfo,,,"cocoa",1394409588803
locale,sysinfo,,,"en_US",1394409588803
processors,sysinfo,,,"4",1394409588803
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394409588803
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1394409588803
java.specification.name,sysinfo,,,"Java Platform API Specification",1394409588803
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394409588803
java.specification.version,sysinfo,,,"1.6",1394409588803
java.vendor,sysinfo,,,"Apple Inc.",1394409588803
java.version,sysinfo,,,"1.6.0_65",1394409588803
